,LAD25CD,LAD25NM,total_2019,total_2020,total_2021,total_2022,total_2023,total_2024
0,E09000001,City of London,8765,8331,8689,11457,13606,15111
1,E09000002,Barking and Dagenham,218828,219227,218714,220039,226301,232747
2,E09000003,Barnet,390590,391046,388955,390346,398191,405050
3,E09000004,Bexley,246622,246924,246637,247754,252124,256434
4,E09000005,Brent,347424,343988,339248,341183,348751,352976
5,E09000006,Bromley,331192,331247,329899,329689,332482,335319
6,E09000007,Camden,217136,214768,210968,217365,217235,216943
7,E09000008,Croydon,390643,392101,390691,392610,402217,409342
8,E09000009,Ealing,367284,367936,366762,370129,379203,385985
9,E09000010,Enfield,335151,333149,329876,327426,328014,327434
10,E09000011,Greenwich,288205,288384,289537,291879,296420,299528
11,E09000012,Hackney,265825,263782,260082,261632,265411,266758
12,E09000013,Hammersmith and Fulham,188562,186555,183310,185506,187479,188687
13,E09000014,Haringey,273716,269534,264317,262413,263362,263850
14,E09000015,Harrow,262065,262281,261159,261933,266891,270724
15,E09000016,Havering,261296,261906,262086,264675,270305,276274
16,E09000017,Hillingdon,305641,306460,305107,310894,321977,329185
17,E09000018,Hounslow,289652,289773,288164,291199,295221,299424
18,E09000019,Islington,221994,221018,217050,219594,222333,223024
19,E09000020,Kensington and Chelsea,146805,144874,144266,146392,146499,144518
20,E09000021,Kingston upon Thames,169797,169770,167992,169082,170780,172692
21,E09000022,Lambeth,329513,325527,317691,316700,318738,316920
22,E09000023,Lewisham,305906,304169,300013,299023,300225,301255
23,E09000024,Merton,217219,217101,215426,215121,217135,218539
24,E09000025,Newham,349786,350025,351256,357147,368194,374523
25,E09000026,Redbridge,311780,311750,310130,311515,316556,321231
26,E09000027,Richmond upon Thames,198185,197797,195315,195165,196061,196678
27,E09000028,Southwark,312591,312055,306762,311492,313485,314786
28,E09000029,Sutton,208516,209921,209617,210293,212336,214525
29,E09000030,Tower Hamlets,305066,306780,312715,323854,329143,331886
30,E09000031,Waltham Forest,281015,279527,278147,276312,278506,279737
31,E09000032,Wandsworth,334558,333678,328429,329358,333859,337655
32,E09000033,Westminster,208415,205624,205759,209866,210665,209996
