,LSOA21CD,LSOA21NM,LAD25CD,LAD25NM,geometry,total_2019,total_2020,total_2021,total_2022,total_2023,total_2024
0,E01000001,City of London 001A,E09000001,City of London,"POLYGON ((532284.4339158644 181906.73811595188, 532250.045654832 181332.26699810463, 531950.1060531484 181472.20600278158, 532024.1731130518 181893.7142040069, 532106.6739654655 182012.13352156663, 532284.4339158644 181906.73811595188))",1677,1563,1573,1795,2078,2172
1,E01000002,City of London 001B,E09000001,City of London,"POLYGON ((532748.6236773445 181787.12534852314, 532250.045654832 181332.26699810463, 532284.4339158644 181906.73811595188, 532421.3994799894 181998.54698880302, 532748.6236773445 181787.12534852314))",1423,1309,1407,1671,1881,2044
2,E01000003,City of London 001C,E09000001,City of London,"POLYGON ((532294.9181398186 182068.59980336792, 532421.3994799894 181998.54698880302, 532284.4339158644 181906.73811595188, 532106.6739654655 182012.13352156663, 532136.9428926413 182198.38079302112, 532294.9181398186 182068.59980336792))",1841,1722,1610,1896,2231,2444
3,E01000005,City of London 001E,E09000001,City of London,"POLYGON ((533606.0884657227 181418.35195665265, 533745.528495516 181261.54485770466, 533839.7885729483 180858.06249712425, 533809.8363277051 180767.9729946945, 533604.2531292663 180815.37675354577, 533321.0047900409 181386.2189716171, 533500.8862227885 181582.6224190194, 533606.0884657227 181418.35195665265))",1426,1360,1104,1737,2168,2391
4,E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,"POLYGON ((545273.7272492906 184184.22546593298, 545298.1175489975 184162.64731368946, 544699.1122049195 184170.65987604432, 544789.6911375811 184605.04354239942, 545273.7272492906 184184.22546593298))",1844,1834,1829,1837,1940,1930
5,E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,"POLYGON ((544359.8712350846 184584.1710859277, 544442.4146682721 184320.23262958322, 544110.2619738227 184236.4115410864, 543789.8726941169 184263.45941693918, 543890.8696942981 184593.1678898742, 544182.2164882628 184700.7525669798, 544359.8712350846 184584.1710859277))",2589,2779,2841,2961,3096,3080
6,E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,"POLYGON ((543609.9884845995 184829.68920191354, 543583.7042048778 184547.2303594465, 543890.8696942981 184593.1678898742, 543789.8726941169 184263.45941693918, 543753.5666206125 184070.20761753735, 543567.7151143157 183952.05619856226, 543540.7218921876 184165.4557471517, 543521.6116449535 184848.42911212868, 543524.3291129062 184862.67623756872, 543609.9884845995 184829.68920191354))",1740,1743,1747,1761,1785,1805
7,E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,"POLYGON ((544789.6911375811 184605.04354239942, 544699.1122049195 184170.65987604432, 544458.504416219 184300.77059683483, 544442.4146682721 184320.23262958322, 544359.8712350846 184584.1710859277, 544668.9260315739 184681.49465566938, 544789.6911375811 184605.04354239942))",1838,1837,1795,1859,1904,1880
8,E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,"POLYGON ((544668.9260315739 184681.49465566938, 544359.8712350846 184584.1710859277, 544182.2164882628 184700.7525669798, 544192.4606147833 184845.40593868645, 544340.1291726127 184928.1615914512, 544668.9260315739 184681.49465566938))",1676,1692,1666,1719,1768,1738
9,E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,"POLYGON ((544161.7734220461 184893.93239229865, 544192.4606147833 184845.40593868645, 544182.2164882628 184700.7525669798, 543890.8696942981 184593.1678898742, 543583.7042048778 184547.2303594465, 543609.9884845995 184829.68920191354, 543743.8483424409 184782.7401966966, 544111.3482272886 184898.81712045433, 544161.7734220461 184893.93239229865))",2314,2320,2333,2336,2472,2474
